10175	1883367
1203322	1883367
340223	946299
74620	946299
57256	304565
57256	1883367
946299	946428
946299	1009335
946299	1119099
946299	1173544
946299	1255059
946299	1369888
946299	1497449
946299	1571792
946299	1599687
946299	1616889
946299	1647914
946299	1742932
946299	1750375
946299	1803236
946299	1883367
946299	1924907
345388	946299
1119554	1883367
387784	1883367
674207	1883367
957621	1883367
1202423	1883367
61461	946299
810499	946299
1805903	1883367
81014	1883367
86671	304565
925060	1883367
3734	1647914
129339	304565
1611504	1647914
1611505	1647914
1177501	1883367
513346	1647914
821541	1883367
1647914	1654637
1647914	1727990
1647914	1883367
1647914	1923553
1647914	2042522
1647914	2051047
1883367	1923553
1883367	2092762
639770	1647914
1175620	1647914
1226866	1647914
1434743	1647914
166820	304565
14033	946299
394408	946299
632989	1883367
1404296	1883367
11165	946299
16152	1647914
636082	1647914
1082056	1883367
304565	821541
304565	946299
304565	1210086
304565	1255059
304565	1369053
304565	1617421
304565	1647914
304565	1774252
304565	1883367
304565	2043846
514471	1647914
1809704	1883367
163610	304565
643099	1883367
56263	304565
608491	946299
875402	946299
1255059	1647914
907007	946299
1617622	1647914
150314	304565
849399	1647914
726626	946299
1358696	1647914
1479384	1647914
1575319	1647914
