387784	621,226,4218,237,168,84,1688,13263,171,159,15406,43,155,15407,167,3469,725,815,619,423
1202423	154,153,84,621,4218,226,201,836,414,467,634,28891,17988,474,15407,332,14979,1039,117,15016
1923553	168,84,226,1652,263,237,167,334,2131,815,155,2865,158,171,367,159,170,621,332,43
957621	815,2865,226,332,42032,1,2,460,22305,683,221,237,751,117,5198,2893,14463,167,1030
1119554	226,168,332,724,39,729,376,50,534,1002,155,87,171,237,1507,154,460,4708,836,488
1727990	460,746,1652,263,168,1,2,133470,1178,99,1111,207,133471,2436,332,1080,79,11,560,1669
345388	79,653,797,501,3353,300,1,2,44274,1901,53030,1947,7352,6323,27595,26611,69,1369,3453,25
304565	515,171,815,84,167,226,2865,168,92,1259,816,155,460,237,2948,2154,154,621,72,503
1434743	50,120,168,51,66,8971,1246,1,2,32765,103,746,6905,4321,477,1034,2410,1336,926,3025
632989	168,171,84,265,534,6259,158,300,11,464,879,1652,263,334,2865,28917,621,173,226,6
1404296	168,167,171,815,14175,515,3847,8,226,84,332,1175,155,173,92,816,166,725,2066,621
163610	6684,2131,57446,112432,226,21342,69337,6096,1315,153,2743,43,1019,634,64,146,141169,165681,894,72
674207	171,2467,31315,155,1,2,15430,3916
810499	168,26212,376,838,1327,534,84,515,6,875,611,166,4707,4243,3078,1198,365,501,7084,266
394408	153,154,5713,226,634,84,155,43,89732,622,219247,11,159,56638,6,5162,463,33291,166,9612
1611504	168,875,4243,857,5080,596,611,262,4244,1198,260,501,2754,1316,7084,454,16163,221,301,2743
1358696	208,209,217,168,214,2262,6259,264,63199,2892,1,2,32412,606,158,159117,72,3649,43,405
3734	173,168,79,43,84,77,1618,6,50,72,64,71,446,501,92,237,1053,209,534,244
150314	84,1725,146879,10189,357,3777,122,155,1,2,794,14857,3469,11465,2159,25009,1506,718,378,262276
1479384	226,724,1002,167,729,835,5202,24913,1,2,3211,885,376,621,262982,187,725,3240,332,8
1805903	168,534,171,815,84,1652,6,2865,334,621,464,515,167,237,11,3469,794,1334,173,376
1616889	2131,1652,263,168,1,2,32864,237,72,2365,896,334,6688,378,13884,36,13364,156938,878,166
2043846	168,167,171,170,226,815,515,2893,714,816,92,84,332,6259,1669,263,3696,621,27103,42466
636082	2131,1652,263,334,173,2648,7879,1247,168,170,1725,39,2851,885,67753,4120,751,17,226,1248
86671	8480,39,66,75,9026,84,9270,6869,2269,18078,3944,1503,4992,3426,678,581,5957,206,5425,1766
1803236	173,3250,1449,1425,71,168,181,16683,110,1170,84,1071,128,39,2094,4613,64,1899,785,787
1654637	365,1862,166,635,3507,5901,735,1516,278,279,21749,1371,84,23,2056,173,891,2851,326,977
1774252	154,168,1175,72,177,815,171,155,173,159,153,43,226,39,170,534,378,861,501,332
1175620	168,281,71,1,12949,880,534,1111,36,120,2445,10283,58546,311,909,3399,777,2,122160,122161
16152	154,92,3731,458,153,376,3855,84,724,575,155,5910,2631,1392,168,1651,486,226,669,583
1617421	815,515,168,2865,885,84,194015,175,171,1030,1472,5961,367,158,39847,159,2948,1139,4256,1336
1009335	168,173,534,171,378,50,72,281,6,1178,365,2211,221,11007,84,208,857,985,5255,3078
1497449	171,168,534,475,333,2944,7923,6,140,25,1,2,3154,9055,226,2892,1668,515,262,300
2042522	168,11,1246,460,885,1016,1306,515,50,84,815,365,926,1465,1247,474,120,169,1030,2577
81014	168,173,128,6,79,654,84,166,94,72,815,25,1520,1111,885,1104,1320,82,110,1156
643099	168,725,815,171,728,155,365,84,3777,263,879,3154,2217,159,237,3646,1334,1502,1673,153
166820	168,875,36973,158,166,785,596,5057,880,3214,501,515,1426,94,3493,742,3214,724,365,376
1647914	168,226,154,515,171,2154,167,208,534,43,214,332,158,84,92,724,460,367,669,1669
907007	173,1,2,13134,181,3250,64,6,243,1543,1661,885,3814,43,71,1582,3270
1611505	168,50,875,1465,857,501,4243,717,11,2865,207,1369,2496,534,175,239,2501,80,171,72
2051047	181,1247,2213,1884,565,25,746,1612,1,168,120,173,534,356066,51,39,1248,515,477,23849
1369053	168,875,4090,845,166,515,1623,263,4243,2496,3154,158,13675,120,815,171,857,725,854,4352
1210086	237,226,3646,1673,84,412,621,460,1259,154,7924,167,2629,159,43,42629,1446,467,3630,153
56263	168,84,39,167,515,11,1904,467,173,728,1688,367,154,405,5945,2865,2948,226,608,3154
1750375	106,2384,1,2,763,159,43,79,488,249616,169,2950,77,460,425,244542,273,312,289579,440
1082056	168,2851,575,1111,2944,460,840,4900,977,43,140,50,84,29089,470,13364,1066,1553,20539,665
1883367	171,815,515,168,226,155,816,1652,263,3469,460,621,92,84,332,1688,2865,167,334,166
925060	226,515,2154,729,13263,367,516,724,1463,168,621,158,460,2067,3124,1002,171,92,7939,155
1809704	515,460,1463,3211,815,1494,171,2948,724,1002,370,226,5044,4090,229921,208,2154,11465,1905,36
821541	84,168,226,515,167,621,154,815,171,1259,173,237,2865,464,367,175,155,2948,39,1669
514471	332,226,503,467,3240,242,3630,724,1002,431,1598,729,525,4972,1,2,194200,287,24912,1794
1575319	1,2,105480,621,171,155,84
849399	885,365,3234,171,168,1,2,79,1421,1428,1336,8,746,9673
14033	168,39,669,1053,376,237,72,51,92,4708,94,2211,334,263,2868,1610,296,1652,2153,534
639770	168,209,208,661,171,217,296,72,43,985,214,84,158,120,264,891,534,664,1247,1248
1742932	175,2865,6259,334,169,170,1259,167,1,2,173,208,166
61461	173,168,84,79,43,72,128,64,39,50,6,378,237,171,226,470,794,166,92,534
726626	10,497,79,424,1,2,16889,15274,507,86797,324,7368,705,128,20493,653,54,467,244,43394
